epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,24,,,,1.9966486692428589,2.337071180343628,5.492015838623047
0,24,3.7330689430236816,3.94193696975708,16.519750595092773,,,
1,49,,,,1.0141186714172363,1.3359571695327759,1.795933485031128
1,49,1.2098474502563477,1.4808975458145142,2.3068621158599854,,,
2,74,,,,1.018938660621643,1.3332666158676147,1.7882000207901
2,74,0.9924163818359375,1.2555760145187378,1.6001607179641724,,,
3,99,,,,0.9803600311279297,1.287187933921814,1.6646201610565186
3,99,0.998328447341919,1.2412596940994263,1.5645549297332764,,,
4,124,,,,0.9626712203025818,1.2502789497375488,1.567977786064148
4,124,0.963164746761322,1.2028164863586426,1.4690355062484741,,,
5,149,,,,0.9297778606414795,1.174752950668335,1.3814185857772827
5,149,0.9307923316955566,1.1572113037109375,1.365989327430725,,,
6,174,,,,0.9202932119369507,1.1376718282699585,1.2958866357803345
6,174,0.9017933011054993,1.1156597137451172,1.2605884075164795,,,
7,199,,,,0.8996192216873169,1.0815657377243042,1.1720993518829346
7,199,0.8350998163223267,1.025894284248352,1.0753718614578247,,,
8,224,,,,0.8758939504623413,1.053916573524475,1.1151649951934814
8,224,0.8214623332023621,1.0139806270599365,1.053188443183899,,,
9,249,,,,0.8538654446601868,1.0547797679901123,1.1202949285507202
9,249,0.7990501523017883,0.9994436502456665,1.019469141960144,,,
10,274,,,,0.9393141865730286,1.1698254346847534,1.3791780471801758
10,274,0.7744961380958557,0.969081699848175,0.9494268298149109,,,
11,299,,,,0.9351195693016052,1.1267037391662598,1.269958257675171
11,299,0.8145386576652527,1.0140457153320312,1.0407758951187134,,,
12,324,,,,0.8485486507415771,1.0441175699234009,1.0924104452133179
12,324,0.7931870222091675,0.9988853931427002,1.0203042030334473,,,
13,349,,,,0.8526447415351868,1.0445634126663208,1.1017476320266724
13,349,0.7622620463371277,0.9573062658309937,0.9345547556877136,,,
14,374,,,,0.8200754523277283,1.0125670433044434,1.0300403833389282
14,374,0.7852320075035095,0.9829235076904297,0.9836525917053223,,,
15,399,,,,0.8368213176727295,1.0243321657180786,1.0527511835098267
15,399,0.7563711404800415,0.946666955947876,0.9094037413597107,,,
16,424,,,,0.891801118850708,1.0805556774139404,1.169175624847412
16,424,0.7380346059799194,0.9264912605285645,0.8784339427947998,,,
17,449,,,,0.8622390627861023,1.0964734554290771,1.2264801263809204
17,449,0.752808690071106,0.942332923412323,0.9104042053222656,,,
18,474,,,,0.815138041973114,1.0021741390228271,1.0122603178024292
18,474,0.8004960417747498,1.010657787322998,1.0453040599822998,,,
19,499,,,,0.8175983428955078,1.0104824304580688,1.025669813156128
19,499,0.7467514872550964,0.9476181268692017,0.9169889688491821,,,
20,524,,,,0.8024051785469055,0.987770140171051,0.9826779961585999
20,524,0.733241856098175,0.9330353736877441,0.8877893686294556,,,
21,549,,,,0.8107892870903015,0.9937999844551086,0.9987496137619019
21,549,0.7511252760887146,0.946286141872406,0.9198423624038696,,,
22,574,,,,0.8284729719161987,1.013137698173523,1.0421912670135498
22,574,0.7497377991676331,0.9345526099205017,0.8939392566680908,,,
23,599,,,,0.8164739012718201,0.9928484559059143,0.9917104244232178
23,599,0.6996512413024902,0.8932023048400879,0.8123876452445984,,,
24,624,,,,0.8078939914703369,1.0015389919281006,1.0190021991729736
24,624,0.7140994071960449,0.9096570014953613,0.8407341241836548,,,
25,649,,,,0.8111927509307861,0.9846138954162598,0.9780493378639221
25,649,0.7199249863624573,0.9067310094833374,0.8459191918373108,,,
26,674,,,,0.7930189371109009,0.9701392650604248,0.9480369687080383
26,674,0.7007830739021301,0.8887449502944946,0.8041441440582275,,,
27,699,,,,0.7916558980941772,0.9817060828208923,0.9692552089691162
27,699,0.7112544775009155,0.9142394065856934,0.8554762005805969,,,
28,724,,,,0.8082807064056396,0.999220073223114,1.0166749954223633
28,724,0.6925384998321533,0.8827271461486816,0.8005017042160034,,,
29,749,,,,0.8273290991783142,1.042653203010559,1.1128239631652832
29,749,0.6882059574127197,0.8757655620574951,0.7832947373390198,,,
