epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,371,,,,0.6853509545326233,0.9000034928321838,0.826696515083313
0,371,0.9108595848083496,1.130276083946228,1.5949599742889404,,,
1,743,,,,0.629441499710083,0.8139167428016663,0.6718158721923828
1,743,0.6852555871009827,0.8753138780593872,0.7840238809585571,,,
2,1115,,,,0.6443861722946167,0.8264997601509094,0.6913925409317017
2,1115,0.6600046753883362,0.844057023525238,0.7294769287109375,,,
3,1487,,,,0.6221885681152344,0.7989634871482849,0.6474992036819458
3,1487,0.6388100385665894,0.820374608039856,0.6894780397415161,,,
