epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,399,,,,,,,0.9692778587341309,1.1179858446121216,1.5708481073379517
0,399,,,,1.2519874572753906,1.3714470863342285,2.838895797729492,,,
1,799,,,,,,,1.004269003868103,1.112749457359314,1.6395573616027832
1,799,,,,0.9931899905204773,1.092363715171814,1.5441550016403198,,,
2,1199,,,,,,,0.8812615871429443,0.9756976366043091,1.1541738510131836
2,1199,,,,0.9110338091850281,1.012378215789795,1.3145053386688232,,,
3,1599,,,,,,,0.9464980363845825,1.048384666442871,1.2695423364639282
3,1599,,,,0.8699824810028076,0.9667952060699463,1.230167269706726,,,
4,1999,,,,,,,0.9599657654762268,1.074347972869873,1.4969427585601807
4,1999,,,,0.8395314812660217,0.9286155104637146,1.1147067546844482,,,
5,2399,,,,,,,0.9112080335617065,1.0089548826217651,1.1976187229156494
5,2399,,,,0.8305279016494751,0.9340847730636597,1.1160104274749756,,,
6,2799,,,,,,,0.8604137897491455,0.9505534172058105,1.0578739643096924
6,2799,,,,0.8183107972145081,0.9037090539932251,1.0591579675674438,,,
7,3199,,,,,,,0.8913320302963257,0.972169816493988,1.1163935661315918
7,3199,,,,0.7841410636901855,0.8756009936332703,0.9877280592918396,,,
8,3599,,,,,,,0.9146943092346191,1.001552939414978,1.1559499502182007
8,3599,,,,0.7734926342964172,0.8593681454658508,0.9742571115493774,,,
9,3999,,,,,,,0.8594399094581604,0.946262538433075,1.0253169536590576
9,3999,,,,0.7864363193511963,0.8815375566482544,0.9911730885505676,,,
10,4399,,,,,,,0.8381473422050476,0.9313668608665466,1.0154094696044922
10,4399,,,,0.7582972049713135,0.8498663306236267,0.9441708922386169,,,
11,4799,,,,,,,0.8272631168365479,0.9057573080062866,1.0105689764022827
11,4799,,,,0.7501809000968933,0.82923424243927,0.912942111492157,,,
12,5199,,,,,,,0.8149622082710266,0.9039339423179626,1.0188246965408325
12,5199,,,,0.740496814250946,0.831508457660675,0.918233335018158,,,
13,5599,,,,,,,0.7713688015937805,0.862928569316864,0.9533230066299438
13,5599,,,,0.7346360087394714,0.8225053548812866,0.8918311595916748,,,
14,5999,,,,,,,0.831695020198822,0.9131913781166077,0.984677791595459
14,5999,,,,0.7295947074890137,0.8259477019309998,0.8945069313049316,,,
15,6399,,,,,,,0.8124921917915344,0.8923372030258179,0.9529690742492676
15,6399,,,,0.74983811378479,0.8527395725250244,0.965410590171814,,,
16,6799,,,,,,,0.8952456712722778,0.975440263748169,1.110437035560608
16,6799,,,,0.7325275540351868,0.8233165740966797,0.9005341529846191,,,
17,7199,,,,,,,0.8684967756271362,0.9443172216415405,1.0511239767074585
17,7199,,,,0.7382972836494446,0.825042724609375,0.8812344074249268,,,
18,7599,,,,,,,0.7758262753486633,0.863599419593811,0.9694535136222839
18,7599,,,,0.7334261536598206,0.8104664087295532,0.8867855072021484,,,
19,7999,,,,,,,0.8033938407897949,0.879564642906189,0.9344651103019714
19,7999,,,,0.7309611439704895,0.8067395687103271,0.8445799946784973,,,
20,8399,,,,,,,0.7826400995254517,0.8704180717468262,0.946735143661499
20,8399,,,,0.7072118520736694,0.7880516648292542,0.8256521821022034,,,
