epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,371,,,,,,,0.6922970414161682,0.9052796959877014,0.836428165435791
0,371,,,,0.9384588599205017,1.160448431968689,1.671129822731018,,,
1,743,,,,,,,0.6517189741134644,0.8552283048629761,0.746383011341095
1,743,,,,0.6778603196144104,0.8675642609596252,0.7712717056274414,,,
2,1115,,,,,,,0.6340845227241516,0.8173664212226868,0.677276611328125
2,1115,,,,0.6555647850036621,0.8387909531593323,0.7213333249092102,,,
3,1487,,,,,,,0.6294689178466797,0.8095017075538635,0.6642017960548401
3,1487,,,,0.6304023265838623,0.8095800876617432,0.6702581644058228,,,
4,1859,,,,,,,0.6203935742378235,0.8021186590194702,0.6539541482925415
4,1859,,,,0.6219504475593567,0.7985515594482422,0.6544103026390076,,,
5,2231,,,,,,,0.6295744776725769,0.8061535954475403,0.6584698557853699
5,2231,,,,0.6181135177612305,0.7923310995101929,0.6444644927978516,,,
6,2603,,,,,,,0.6099677681922913,0.7910218834877014,0.6363264918327332
6,2603,,,,0.613226592540741,0.7866414785385132,0.6348389387130737,,,
7,2975,,,,,,,0.6728395223617554,0.8394638299942017,0.7123014330863953
7,2975,,,,0.603636622428894,0.776824414730072,0.6182387471199036,,,
8,3347,,,,,,,0.6045777201652527,0.7840777039527893,0.625402569770813
8,3347,,,,0.6041103005409241,0.7778836488723755,0.6203234195709229,,,
9,3719,,,,,,,0.61346834897995,0.803376317024231,0.6637397408485413
9,3719,,,,0.5969746708869934,0.7686789035797119,0.604893684387207,,,
10,3720,0.6176857948303223,0.8118333220481873,0.6775490641593933,,,,,,
