epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,,,,1.2560596466064453,1.2560596466064453,2.774564027786255
0,79,,,,2.4414260387420654,2.4414260387420654,9.13634967803955,,,
1,159,,,,,,,1.1189250946044922,1.1189250946044922,2.373222827911377
1,159,,,,1.2338049411773682,1.2338049411773682,2.244596004486084,,,
2,239,,,,,,,1.1317256689071655,1.1317256689071655,2.3847620487213135
2,239,,,,1.2846448421478271,1.2846448421478271,2.4746923446655273,,,
3,240,1.2003525495529175,1.2003525495529175,2.0407352447509766,,,,,,
