epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,371,,,,0.6869269609451294,0.8739961981773376,0.7753266096115112
0,371,0.9394395351409912,1.1618400812149048,1.7072439193725586,,,
1,743,,,,0.6450585722923279,0.8287357091903687,0.6979221105575562
1,743,0.6789215207099915,0.8691325783729553,0.7744567394256592,,,
2,1115,,,,0.6282659769058228,0.8125185370445251,0.6701157689094543
2,1115,0.64621502161026,0.8305221199989319,0.7059809565544128,,,
3,1487,,,,0.6145439147949219,0.8013237118721008,0.654317319393158
3,1487,0.6259511709213257,0.8019382357597351,0.6601337790489197,,,
4,1859,,,,0.6030728816986084,0.7853207588195801,0.6286798715591431
4,1859,0.6172875761985779,0.7948055267333984,0.6486818790435791,,,
5,2231,,,,0.5989615321159363,0.7842745184898376,0.6273038387298584
5,2231,0.6072657704353333,0.7845150232315063,0.6310480833053589,,,
6,2603,,,,0.6197527647018433,0.8139753341674805,0.6784672737121582
6,2603,0.6014819741249084,0.7751279473304749,0.6171095371246338,,,
7,2975,,,,0.5914493203163147,0.768785834312439,0.6019307374954224
7,2975,0.5958483219146729,0.7686467170715332,0.6077882647514343,,,
8,3347,,,,0.5905746817588806,0.7625195384025574,0.5917806625366211
8,3347,0.5940291285514832,0.766942024230957,0.6029372811317444,,,
9,3719,,,,0.5789684653282166,0.7472385168075562,0.5705738663673401
9,3719,0.5838431715965271,0.7521039843559265,0.580321192741394,,,
10,4091,,,,0.5928201079368591,0.7828902006149292,0.6305028200149536
10,4091,0.583908200263977,0.7524774074554443,0.5794762372970581,,,
11,4463,,,,0.5658165216445923,0.7346296310424805,0.5523462295532227
11,4463,0.5768660306930542,0.7415999174118042,0.5657813549041748,,,
12,4835,,,,0.5597789287567139,0.736022412776947,0.5567148923873901
12,4835,0.5689091086387634,0.7335265278816223,0.5528998374938965,,,
13,5207,,,,0.5623435378074646,0.721368670463562,0.5330991148948669
13,5207,0.5618920922279358,0.7259860038757324,0.542669415473938,,,
14,5579,,,,0.5698091983795166,0.7505144476890564,0.5828333497047424
14,5579,0.5595449805259705,0.7228255867958069,0.5381076335906982,,,
15,5951,,,,0.5536038875579834,0.727687418460846,0.5450314879417419
15,5951,0.5575376749038696,0.720693051815033,0.5349408388137817,,,
16,6323,,,,0.5505167245864868,0.7198518514633179,0.532180666923523
16,6323,0.5500373840332031,0.7100775241851807,0.5191646218299866,,,
17,6695,,,,0.5552878975868225,0.7101503014564514,0.515670657157898
17,6695,0.5429385304450989,0.7040412425994873,0.5095948576927185,,,
18,7067,,,,0.5866129398345947,0.7362933158874512,0.5525923371315002
18,7067,0.5400426983833313,0.6998457312583923,0.5035598278045654,,,
19,7439,,,,0.5293731093406677,0.685397207736969,0.48430168628692627
19,7439,0.5327827334403992,0.6915197968482971,0.49199777841567993,,,
20,7811,,,,0.5664746761322021,0.7226234674453735,0.5326018929481506
20,7811,0.5319432616233826,0.6880242824554443,0.48770564794540405,,,
21,8183,,,,0.5226412415504456,0.6860416531562805,0.487870991230011
21,8183,0.531644880771637,0.6888296008110046,0.4888637065887451,,,
22,8555,,,,0.516197919845581,0.677220344543457,0.47581592202186584
22,8555,0.5255370140075684,0.6831235885620117,0.4804295599460602,,,
23,8927,,,,0.5260107517242432,0.6722949147224426,0.4662827253341675
23,8927,0.5201066732406616,0.6751681566238403,0.4705161154270172,,,
24,9299,,,,0.5367918610572815,0.683627188205719,0.47907736897468567
24,9299,0.5140013694763184,0.6668123006820679,0.45868393778800964,,,
25,9671,,,,0.5141112208366394,0.6708083152770996,0.4699831008911133
25,9671,0.515313446521759,0.6693224310874939,0.46262553334236145,,,
26,10043,,,,0.5120829939842224,0.6725113391876221,0.4719230532646179
26,10043,0.5053807497024536,0.6568250060081482,0.44718706607818604,,,
27,10415,,,,0.5160379409790039,0.6756922602653503,0.4777551591396332
27,10415,0.49853965640068054,0.6501501202583313,0.4376412332057953,,,
28,10787,,,,0.4967832863330841,0.6545484662055969,0.44997358322143555
28,10787,0.501641571521759,0.6519688367843628,0.439747154712677,,,
29,11159,,,,0.5394049882888794,0.7210239171981812,0.5453981757164001
29,11159,0.49638664722442627,0.6483941674232483,0.43485212326049805,,,
