epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,39,,,,,,,1.2187572717666626,1.5173680782318115,2.7181262969970703
0,39,,,,0.8922857046127319,0.9844316244125366,1.2082793712615967,,,
1,79,,,,,,,1.0888800621032715,1.3122297525405884,1.9478365182876587
1,79,,,,0.7744733095169067,0.8659471273422241,0.9953665733337402,,,
2,119,,,,,,,1.274625539779663,1.5501679182052612,2.8137166500091553
2,119,,,,0.7980216145515442,0.8632245063781738,0.9697647094726562,,,
3,159,,,,,,,1.1584858894348145,1.354758381843567,2.0487449169158936
3,159,,,,0.7197552919387817,0.7959209680557251,0.9596155881881714,,,
4,199,,,,,,,0.9429130554199219,1.0207419395446777,1.1795728206634521
4,199,,,,0.8181660771369934,0.8867326974868774,1.0666563510894775,,,
5,239,,,,,,,1.0330663919448853,1.3098641633987427,1.9655539989471436
5,239,,,,0.8618155717849731,0.9302669763565063,1.1140466928482056,,,
6,279,,,,,,,0.9396343231201172,1.0734087228775024,1.3150562047958374
6,279,,,,0.7133075594902039,0.7944533228874207,0.8536016345024109,,,
7,319,,,,,,,1.0975583791732788,1.1992700099945068,1.4936249256134033
7,319,,,,0.7081314921379089,0.8049632906913757,0.8321218490600586,,,
8,359,,,,,,,0.9073370695114136,0.9963647723197937,1.0910217761993408
8,359,,,,0.7133005857467651,0.7885617613792419,0.7943652272224426,,,
9,399,,,,,,,0.8015658259391785,0.8806227445602417,0.8156852722167969
9,399,,,,0.6899558305740356,0.8146926760673523,0.8515902757644653,,,
10,439,,,,,,,1.1711394786834717,1.3765590190887451,2.2912755012512207
10,439,,,,0.6882523894309998,0.7679040431976318,0.7860826253890991,,,
11,479,,,,,,,1.0655027627944946,1.1606537103652954,1.5291725397109985
11,479,,,,0.6872378587722778,0.7729660272598267,0.8038418889045715,,,
12,519,,,,,,,0.9952300786972046,1.0770933628082275,1.2784079313278198
12,519,,,,0.6742262244224548,0.7537609338760376,0.7129717469215393,,,
13,559,,,,,,,1.101590633392334,1.2019754648208618,1.6237220764160156
13,559,,,,0.6163913011550903,0.6779723763465881,0.6325362324714661,,,
14,599,,,,,,,0.842525839805603,0.973115086555481,0.9541557431221008
14,599,,,,0.6847350597381592,0.7577837705612183,0.7812438607215881,,,
15,639,,,,,,,0.9686182737350464,1.1211374998092651,1.4131062030792236
15,639,,,,0.6549277305603027,0.7472048401832581,0.679974377155304,,,
16,679,,,,,,,1.0983946323394775,1.1533660888671875,1.4800567626953125
16,679,,,,0.7082726955413818,0.7907189726829529,0.8001409769058228,,,
17,719,,,,,,,1.0602304935455322,1.1459448337554932,1.4528870582580566
17,719,,,,0.6475858688354492,0.7357300519943237,0.6902264356613159,,,
18,759,,,,,,,1.1966432332992554,1.3005907535552979,1.8772779703140259
18,759,,,,0.6326618194580078,0.6941804885864258,0.6815945506095886,,,
19,799,,,,,,,1.0307518243789673,1.2755721807479858,1.789654016494751
19,799,,,,0.6730325818061829,0.746337890625,0.7338016629219055,,,
20,839,,,,,,,1.2866697311401367,1.4686851501464844,2.5204176902770996
20,839,,,,0.7493804693222046,0.8343502283096313,0.8303338885307312,,,
21,879,,,,,,,1.2790189981460571,1.3736531734466553,2.146674633026123
21,879,,,,0.614604115486145,0.6997981071472168,0.6564515829086304,,,
22,919,,,,,,,1.2203781604766846,1.3611395359039307,2.1306707859039307
22,919,,,,0.618931233882904,0.6632976531982422,0.6269280314445496,,,
23,959,,,,,,,1.406267762184143,1.5818760395050049,2.983381986618042
23,959,,,,0.6812855005264282,0.7652962803840637,0.7714523077011108,,,
24,999,,,,,,,0.7881964445114136,0.8546848297119141,0.8135908246040344
24,999,,,,0.6760004162788391,0.7582262754440308,0.6952095627784729,,,
25,1039,,,,,,,1.137080430984497,1.3382720947265625,2.192211151123047
25,1039,,,,0.689397931098938,0.7750273942947388,0.7540343999862671,,,
26,1079,,,,,,,1.010927677154541,1.1097575426101685,1.3224084377288818
26,1079,,,,0.6755956411361694,0.7552365660667419,0.7326578497886658,,,
27,1119,,,,,,,0.877383828163147,0.9980758428573608,1.0597364902496338
27,1119,,,,0.6604374051094055,0.7448471784591675,0.7030309438705444,,,
28,1159,,,,,,,1.0218417644500732,1.1860830783843994,1.6179279088974
28,1159,,,,0.6356889009475708,0.714948296546936,0.6430878043174744,,,
29,1199,,,,,,,0.9733026623725891,1.0747754573822021,1.2528903484344482
29,1199,,,,0.6144751310348511,0.7062534093856812,0.60645592212677,,,
30,1239,,,,,,,1.0080523490905762,1.1753100156784058,1.5182486772537231
