epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,39,,,,1.893890142440796,1.996652603149414,4.263681411743164
0,39,3.4137282371520996,3.555727481842041,14.961545944213867,,,
1,79,,,,1.1326258182525635,1.2298816442489624,2.3601887226104736
1,79,1.372462272644043,1.4986903667449951,2.887376308441162,,,
2,119,,,,1.1950385570526123,1.3392597436904907,2.5604500770568848
2,119,1.2275333404541016,1.3366930484771729,2.1752588748931885,,,
3,159,,,,1.2016359567642212,1.3462997674942017,2.5482449531555176
3,159,1.2482354640960693,1.3806383609771729,2.224961519241333,,,
