epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,,,,1.1844104528427124,1.1844104528427124,2.4339070320129395
0,79,,,,2.3978257179260254,2.3978257179260254,9.297853469848633,,,
1,159,,,,,,,1.1277618408203125,1.1277618408203125,2.3933603763580322
1,159,,,,1.3396542072296143,1.3396542072296143,2.8748977184295654,,,
2,239,,,,,,,1.3856327533721924,1.3856327533721924,2.627467393875122
2,239,,,,1.280808925628662,1.280808925628662,2.3256211280822754,,,
3,240,1.355118989944458,1.355118989944458,2.6047956943511963,,,,,,
