epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,39,,,,,,,1.4873586893081665,1.536726713180542,2.8354382514953613
0,39,,,,3.2158846855163574,3.3426337242126465,14.351374626159668,,,
1,79,,,,,,,1.1256567239761353,1.2211716175079346,2.326329469680786
1,79,,,,1.3446308374404907,1.4572266340255737,2.5259737968444824,,,
2,119,,,,,,,1.671712875366211,1.7333338260650635,3.3421311378479004
2,119,,,,1.3004158735275269,1.4313371181488037,2.4730517864227295,,,
3,159,,,,,,,1.1235285997390747,1.2153403759002686,2.2955822944641113
3,159,,,,1.2711738348007202,1.395530343055725,2.4394986629486084,,,
4,199,,,,,,,1.1205265522003174,1.2620365619659424,2.3860859870910645
4,199,,,,1.214393973350525,1.3194386959075928,2.121894359588623,,,
5,239,,,,,,,1.1199162006378174,1.2034378051757812,2.2370853424072266
5,239,,,,1.2044808864593506,1.3116708993911743,2.166287660598755,,,
6,279,,,,,,,1.1160507202148438,1.2556207180023193,2.328484535217285
6,279,,,,1.2052712440490723,1.3127546310424805,2.1050891876220703,,,
7,319,,,,,,,1.072654128074646,1.1929702758789062,2.1923680305480957
7,319,,,,1.1525154113769531,1.262707233428955,2.0536704063415527,,,
8,359,,,,,,,1.1214724779129028,1.1928075551986694,2.1876025199890137
8,359,,,,1.2631410360336304,1.410900354385376,2.4186108112335205,,,
9,399,,,,,,,1.0796263217926025,1.170164942741394,2.1200015544891357
9,399,,,,1.2490720748901367,1.3457335233688354,2.226581335067749,,,
10,439,,,,,,,1.2373501062393188,1.279876470565796,2.202596426010132
10,439,,,,1.1865116357803345,1.2912126779556274,2.06040096282959,,,
11,479,,,,,,,1.1306302547454834,1.2709165811538696,2.2680277824401855
11,479,,,,1.2225672006607056,1.366308331489563,2.2279200553894043,,,
12,519,,,,,,,1.100414514541626,1.2380717992782593,2.214308977127075
12,519,,,,1.1898727416992188,1.2923619747161865,2.159406900405884,,,
13,559,,,,,,,1.0737426280975342,1.1439132690429688,2.001636505126953
13,559,,,,1.210395097732544,1.3042548894882202,2.129990577697754,,,
14,599,,,,,,,1.1682140827178955,1.3246897459030151,2.305856704711914
14,599,,,,1.200809121131897,1.2959600687026978,2.0240843296051025,,,
15,639,,,,,,,1.0655498504638672,1.2046825885772705,1.9895009994506836
15,639,,,,1.1255223751068115,1.2423772811889648,1.9235140085220337,,,
16,679,,,,,,,1.0721150636672974,1.2354421615600586,1.9167711734771729
16,679,,,,1.0893980264663696,1.1898857355117798,1.803030252456665,,,
17,719,,,,,,,0.9868432283401489,1.1087418794631958,1.4904553890228271
17,719,,,,1.0920958518981934,1.2011058330535889,1.7384312152862549,,,
18,759,,,,,,,1.0493392944335938,1.0772091150283813,1.616790771484375
18,759,,,,1.0694330930709839,1.1805469989776611,1.8729311227798462,,,
19,799,,,,,,,0.9638312458992004,1.0479446649551392,1.3154147863388062
19,799,,,,1.0130982398986816,1.125169277191162,1.6034637689590454,,,
20,800,1.0008797645568848,1.0402791500091553,1.1555533409118652,,,,,,
