epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,39,,,,,,,1.7410014867782593,1.8097209930419922,3.612567901611328
0,39,,,,3.098567008972168,3.2448952198028564,12.996930122375488,,,
1,79,,,,,,,1.3749492168426514,1.427560806274414,2.63828706741333
1,79,,,,1.3759613037109375,1.5198935270309448,2.9049108028411865,,,
2,119,,,,,,,1.381874442100525,1.433248519897461,2.634409189224243
2,119,,,,1.3466166257858276,1.4995626211166382,2.5814292430877686,,,
3,159,,,,,,,1.1231988668441772,1.2328506708145142,2.368384599685669
3,159,,,,1.2541331052780151,1.393030047416687,2.3751206398010254,,,
4,199,,,,,,,1.1444628238677979,1.219695806503296,2.3083159923553467
4,199,,,,1.2529370784759521,1.3568594455718994,2.2326574325561523,,,
5,239,,,,,,,1.1165225505828857,1.226529836654663,2.2933754920959473
5,239,,,,1.2338814735412598,1.3531924486160278,2.440974712371826,,,
6,279,,,,,,,1.2526410818099976,1.4108343124389648,2.6922190189361572
6,279,,,,1.236932396888733,1.3658688068389893,2.2217535972595215,,,
7,319,,,,,,,1.3066210746765137,1.4824787378311157,2.86783504486084
7,319,,,,1.1825307607650757,1.2887790203094482,2.1071407794952393,,,
8,359,,,,,,,1.2033830881118774,1.3550251722335815,2.439668893814087
8,359,,,,1.2251436710357666,1.3388553857803345,2.0537912845611572,,,
9,399,,,,,,,1.2168635129928589,1.2715803384780884,2.1334989070892334
9,399,,,,1.1765248775482178,1.2676327228546143,1.95829176902771,,,
10,439,,,,,,,1.0872526168823242,1.162661075592041,2.0793631076812744
10,439,,,,1.19487464427948,1.297408938407898,2.3022451400756836,,,
11,479,,,,,,,1.0837507247924805,1.1846559047698975,1.9016729593276978
11,479,,,,1.141520619392395,1.2525464296340942,1.958935022354126,,,
12,519,,,,,,,1.0131183862686157,1.0382317304611206,1.5094151496887207
12,519,,,,1.0310996770858765,1.1589879989624023,1.6874641180038452,,,
13,559,,,,,,,1.535166621208191,1.6513359546661377,3.0948472023010254
13,559,,,,1.0843465328216553,1.1943981647491455,1.651666283607483,,,
14,599,,,,,,,1.2187769412994385,1.4026563167572021,2.3915929794311523
14,599,,,,1.171548843383789,1.2934682369232178,2.1181089878082275,,,
15,639,,,,,,,1.1210733652114868,1.1720510721206665,2.0433475971221924
15,639,,,,0.9477713704109192,1.0709106922149658,1.6679503917694092,,,
16,679,,,,,,,1.174203634262085,1.3520667552947998,2.2170944213867188
16,679,,,,1.1975657939910889,1.305548906326294,2.1777892112731934,,,
17,719,,,,,,,1.0954095125198364,1.131532907485962,1.797751784324646
17,719,,,,1.0651733875274658,1.1941405534744263,1.7802098989486694,,,
18,759,,,,,,,1.0826609134674072,1.1407465934753418,1.6474593877792358
18,759,,,,1.057544469833374,1.1428977251052856,1.6180438995361328,,,
19,799,,,,,,,1.0434560775756836,1.084962010383606,1.3488649129867554
19,799,,,,0.9601945877075195,1.066387414932251,1.368911623954773,,,
20,839,,,,,,,1.1043355464935303,1.247450351715088,1.7278602123260498
20,839,,,,0.9288158416748047,1.045172095298767,1.357751727104187,,,
21,879,,,,,,,1.250319480895996,1.4994027614593506,2.6288180351257324
21,879,,,,0.9911645650863647,1.0903617143630981,1.5345263481140137,,,
22,919,,,,,,,0.982226550579071,0.9895919561386108,1.4261269569396973
22,919,,,,0.9293757677078247,1.0199302434921265,1.3376686573028564,,,
23,959,,,,,,,1.1563749313354492,1.3833224773406982,2.210008144378662
23,959,,,,1.0061593055725098,1.1251052618026733,1.5262439250946045,,,
24,999,,,,,,,1.067826747894287,1.197094202041626,1.564491868019104
24,999,,,,0.9665324091911316,1.0651437044143677,1.4264377355575562,,,
25,1039,,,,,,,1.1076403856277466,1.3615705966949463,2.1262474060058594
25,1039,,,,0.8460568189620972,0.9608751535415649,1.2364941835403442,,,
26,1079,,,,,,,1.023742914199829,1.112411379814148,1.468939185142517
26,1079,,,,0.9634138941764832,1.0626842975616455,1.3779058456420898,,,
27,1119,,,,,,,1.0953936576843262,1.2452749013900757,1.5902591943740845
27,1119,,,,0.9346035122871399,1.0292690992355347,1.3147156238555908,,,
28,1159,,,,,,,1.071141004562378,1.2350541353225708,1.5711222887039185
28,1159,,,,0.8580493927001953,0.9206363558769226,1.1382906436920166,,,
29,1199,,,,,,,1.132981777191162,1.331197738647461,1.9053747653961182
29,1199,,,,0.8126211166381836,0.929558277130127,1.1786892414093018,,,
30,1239,,,,,,,0.9299273490905762,1.0655100345611572,1.1812217235565186
30,1239,,,,0.8584025502204895,0.9472360610961914,1.191914677619934,,,
31,1279,,,,,,,0.9812139272689819,1.1722021102905273,1.4447062015533447
31,1279,,,,0.8330634236335754,0.9067492485046387,1.1922494173049927,,,
32,1319,,,,,,,1.4639465808868408,1.6975977420806885,3.51873779296875
32,1319,,,,0.8598963618278503,0.9765827059745789,1.2813441753387451,,,
33,1359,,,,,,,0.914716362953186,1.0814902782440186,1.282074213027954
33,1359,,,,0.8480718731880188,0.9321297407150269,1.210335612297058,,,
34,1399,,,,,,,1.065988540649414,1.2775368690490723,1.760765790939331
34,1399,,,,0.9270387887954712,1.0787159204483032,1.381996750831604,,,
35,1439,,,,,,,0.8828347325325012,1.0253292322158813,1.1913208961486816
35,1439,,,,0.8787311315536499,0.9690514802932739,1.2492585182189941,,,
36,1479,,,,,,,1.0013229846954346,1.2449754476547241,1.6435821056365967
36,1479,,,,0.840125560760498,0.937890350818634,1.1521527767181396,,,
37,1519,,,,,,,0.9353588819503784,1.0520552396774292,1.163556456565857
37,1519,,,,0.7400943040847778,0.8372459411621094,0.9528504610061646,,,
38,1559,,,,,,,1.1122715473175049,1.3788392543792725,2.0676589012145996
38,1559,,,,0.9035959243774414,1.0186065435409546,1.2926757335662842,,,
39,1599,,,,,,,1.2340190410614014,1.4529616832733154,2.4363889694213867
39,1599,,,,0.8104900121688843,0.8943952322006226,1.0558918714523315,,,
40,1639,,,,,,,1.143498182296753,1.3987476825714111,2.183755874633789
40,1639,,,,0.8307129144668579,0.9226289987564087,1.1307671070098877,,,
41,1679,,,,,,,1.1548795700073242,1.4039878845214844,2.1322760581970215
41,1679,,,,0.7707405686378479,0.867954432964325,1.0334255695343018,,,
42,1719,,,,,,,0.993303656578064,1.1108481884002686,1.2705529928207397
42,1719,,,,0.763274073600769,0.8554445505142212,0.9897163510322571,,,
43,1759,,,,,,,1.2697596549987793,1.5357266664505005,2.562798500061035
43,1759,,,,0.8604525327682495,0.9852802157402039,1.2461631298065186,,,
44,1799,,,,,,,1.1400898694992065,1.4175641536712646,2.172644853591919
44,1799,,,,0.8450652956962585,0.9524936676025391,1.170875072479248,,,
45,1839,,,,,,,1.0769933462142944,1.3020532131195068,1.7613403797149658
45,1839,,,,0.8312371373176575,0.9382458925247192,1.19393789768219,,,
46,1879,,,,,,,1.2078187465667725,1.501774787902832,2.573117733001709
46,1879,,,,0.7407820820808411,0.8413912653923035,1.0253350734710693,,,
47,1919,,,,,,,1.05338454246521,1.2409054040908813,1.7958914041519165
47,1919,,,,0.8036917448043823,0.9088441133499146,1.0667632818222046,,,
48,1959,,,,,,,1.1861028671264648,1.3708937168121338,2.136653423309326
48,1959,,,,0.7695072889328003,0.8389631509780884,0.938292384147644,,,
49,1999,,,,,,,0.9887781143188477,1.1836744546890259,1.5060603618621826
49,1999,,,,0.6987029910087585,0.7775207161903381,0.8355075120925903,,,
50,2039,,,,,,,0.9190492630004883,1.0313303470611572,1.102954626083374
50,2039,,,,0.7913810014724731,0.8661285638809204,0.9665996432304382,,,
51,2079,,,,,,,1.3482637405395508,1.6027075052261353,3.0386157035827637
51,2079,,,,0.6082018613815308,0.706292986869812,0.6721616387367249,,,
52,2119,,,,,,,0.9198236465454102,1.0039970874786377,1.5381898880004883
52,2119,,,,0.7441004514694214,0.8299705386161804,1.0103195905685425,,,
53,2159,,,,,,,0.9727147817611694,1.0768229961395264,1.2472898960113525
53,2159,,,,0.8896511793136597,0.9778040647506714,1.2401624917984009,,,
54,2199,,,,,,,1.1846195459365845,1.334120750427246,1.9795396327972412
54,2199,,,,0.6943435668945312,0.7832731604576111,0.9120100140571594,,,
55,2239,,,,,,,1.124102234840393,1.2499254941940308,1.6776702404022217
55,2239,,,,0.6688019037246704,0.7391645312309265,0.7403449416160583,,,
56,2279,,,,,,,1.0191868543624878,1.1668816804885864,1.4256004095077515
56,2279,,,,0.6223532557487488,0.7005602121353149,0.6300922632217407,,,
57,2319,,,,,,,1.3871076107025146,1.601580262184143,3.049744129180908
57,2319,,,,0.609879195690155,0.6837033033370972,0.6157504320144653,,,
58,2359,,,,,,,0.8837726712226868,0.9642359018325806,0.9511634707450867
58,2359,,,,0.6437751650810242,0.7212147116661072,0.6539170742034912,,,
59,2399,,,,,,,1.0642060041427612,1.164898157119751,1.4597222805023193
59,2399,,,,0.6360169649124146,0.7202568054199219,0.7001824378967285,,,
60,2439,,,,,,,0.9855734705924988,1.150007963180542,1.3742930889129639
60,2439,,,,0.6039068102836609,0.686233639717102,0.6052683591842651,,,
61,2479,,,,,,,1.1428529024124146,1.3328056335449219,2.029538154602051
61,2479,,,,0.6751402616500854,0.7360474467277527,0.7027515172958374,,,
62,2519,,,,,,,0.9627812504768372,1.099498987197876,1.2395521402359009
62,2519,,,,0.6729908585548401,0.7383412718772888,0.7146325707435608,,,
63,2559,,,,,,,1.300126075744629,1.4161241054534912,2.3430368900299072
63,2559,,,,0.6073480248451233,0.6919660568237305,0.6038360595703125,,,
64,2599,,,,,,,1.1231666803359985,1.1916074752807617,1.5129176378250122
64,2599,,,,0.6541604399681091,0.7263112664222717,0.6803851127624512,,,
65,2639,,,,,,,0.92962247133255,1.0280282497406006,1.1000823974609375
65,2639,,,,0.6159443855285645,0.7096186876296997,0.6547189950942993,,,
66,2679,,,,,,,0.9608772397041321,1.0838075876235962,1.249060034751892
66,2679,,,,0.5749421715736389,0.6587533950805664,0.6098147630691528,,,
67,2719,,,,,,,1.0448672771453857,1.3125150203704834,1.9147316217422485
67,2719,,,,0.6743290424346924,0.7285822033882141,0.6510103940963745,,,
68,2759,,,,,,,1.4363396167755127,1.6178869009017944,2.9607362747192383
68,2759,,,,0.5554941892623901,0.6275001764297485,0.5528554320335388,,,
69,2799,,,,,,,1.1304337978363037,1.3015251159667969,2.0177340507507324
69,2799,,,,0.7003434896469116,0.7871781587600708,0.7486092448234558,,,
70,2839,,,,,,,0.9691516757011414,1.1056675910949707,1.3368228673934937
70,2839,,,,0.6070319414138794,0.6925941705703735,0.6174505949020386,,,
71,2879,,,,,,,1.214745044708252,1.339638590812683,2.105689525604248
71,2879,,,,0.6105800271034241,0.6875609159469604,0.6025378108024597,,,
72,2919,,,,,,,0.9921969175338745,1.0869159698486328,1.261827826499939
72,2919,,,,0.5835528373718262,0.6492909789085388,0.5734469294548035,,,
73,2959,,,,,,,0.9238966703414917,1.046809196472168,1.151355266571045
73,2959,,,,0.6341078877449036,0.6884728670120239,0.598387598991394,,,
74,2999,,,,,,,1.1854076385498047,1.400404691696167,2.2849924564361572
74,2999,,,,0.5639906525611877,0.6387844085693359,0.5298140048980713,,,
75,3039,,,,,,,0.7895061373710632,0.8742384910583496,0.7755469083786011
75,3039,,,,0.6566818356513977,0.7543882131576538,0.7983575463294983,,,
76,3079,,,,,,,1.0592008829116821,1.1879202127456665,1.5898277759552002
76,3079,,,,0.6000617742538452,0.6564595103263855,0.5940061211585999,,,
77,3119,,,,,,,0.8808361291885376,1.040090799331665,1.2232635021209717
77,3119,,,,0.6129468679428101,0.6880888938903809,0.5676412582397461,,,
78,3159,,,,,,,0.9591203927993774,1.0534560680389404,1.1434352397918701
78,3159,,,,0.6313807964324951,0.7079561948776245,0.6690784692764282,,,
79,3199,,,,,,,0.9971710443496704,1.1742298603057861,1.654067039489746
79,3199,,,,0.7019364237785339,0.7728500962257385,0.7328363656997681,,,
80,3239,,,,,,,0.9541299939155579,1.0650684833526611,1.205754041671753
80,3239,,,,0.6122590899467468,0.6791746616363525,0.5696488618850708,,,
81,3279,,,,,,,1.0979379415512085,1.2360239028930664,1.7457116842269897
81,3279,,,,0.5622736215591431,0.6304759979248047,0.5116891264915466,,,
82,3319,,,,,,,0.9741811752319336,1.0628774166107178,1.2460229396820068
82,3319,,,,0.5570680499076843,0.6214630603790283,0.4930364191532135,,,
83,3359,,,,,,,1.2133740186691284,1.3815449476242065,2.318826198577881
83,3359,,,,0.6378304362297058,0.7207373380661011,0.6207936406135559,,,
84,3399,,,,,,,1.0145280361175537,1.1439197063446045,1.4303998947143555
84,3399,,,,0.6388698220252991,0.7199350595474243,0.6331976056098938,,,
85,3439,,,,,,,1.0342472791671753,1.1790831089019775,1.6107889413833618
85,3439,,,,0.5718101263046265,0.645766019821167,0.5172710418701172,,,
86,3479,,,,,,,1.1409056186676025,1.2723414897918701,1.9116389751434326
86,3479,,,,0.5782871842384338,0.651572585105896,0.5029709339141846,,,
87,3519,,,,,,,1.0853859186172485,1.1937339305877686,1.6380817890167236
87,3519,,,,0.5970702767372131,0.6666398644447327,0.5045374631881714,,,
88,3559,,,,,,,0.9220918416976929,1.0477498769760132,1.1706020832061768
88,3559,,,,0.5543667674064636,0.5995286107063293,0.4775846600532532,,,
89,3599,,,,,,,0.8947070240974426,0.9969949722290039,1.0702215433120728
89,3599,,,,0.6003174781799316,0.6708078980445862,0.5678436756134033,,,
90,3639,,,,,,,0.8047676086425781,0.8965200185775757,0.8555787801742554
90,3639,,,,0.5595041513442993,0.6038451194763184,0.4738200604915619,,,
91,3679,,,,,,,1.2879726886749268,1.414707064628601,2.34696364402771
91,3679,,,,0.5937824845314026,0.6541969776153564,0.520126461982727,,,
92,3719,,,,,,,0.9504204988479614,1.0307738780975342,1.190515160560608
92,3719,,,,0.596328616142273,0.6874204277992249,0.5780245661735535,,,
93,3759,,,,,,,1.1034995317459106,1.2401330471038818,1.7693179845809937
93,3759,,,,0.6102204918861389,0.677213728427887,0.595872163772583,,,
94,3799,,,,,,,0.882875919342041,1.0020248889923096,1.0681006908416748
94,3799,,,,0.5890074968338013,0.6477640867233276,0.5217480659484863,,,
95,3839,,,,,,,0.8596696853637695,0.9301122426986694,0.9495556950569153
95,3839,,,,0.5965358018875122,0.6587035059928894,0.5017327666282654,,,
96,3879,,,,,,,1.1480690240859985,1.2753007411956787,1.8660529851913452
96,3879,,,,0.5477370023727417,0.6236056089401245,0.49763497710227966,,,
97,3919,,,,,,,0.8823566436767578,0.9626572728157043,0.9722720384597778
97,3919,,,,0.55315101146698,0.6173246502876282,0.469760000705719,,,
98,3959,,,,,,,0.9327917098999023,0.9805704951286316,1.0501753091812134
98,3959,,,,0.5974524617195129,0.6601264476776123,0.5465553998947144,,,
99,3999,,,,,,,0.8663901090621948,0.9084489941596985,0.890885055065155
99,3999,,,,0.6133469343185425,0.6833978891372681,0.5841425657272339,,,
100,4000,0.6017717123031616,0.649854302406311,0.5064157843589783,,,,,,
