epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,,,,1.1294031143188477,1.1294031143188477,2.3856215476989746
0,79,,,,2.3482730388641357,2.3482730388641357,9.084206581115723,,,
1,159,,,,,,,1.2248814105987549,1.2248814105987549,2.574061870574951
1,159,,,,1.2718088626861572,1.2718088626861572,2.5133233070373535,,,
2,239,,,,,,,1.1243712902069092,1.1243712902069092,2.293883800506592
2,239,,,,1.3379998207092285,1.3379998207092285,2.641474723815918,,,
3,240,1.205456018447876,1.205456018447876,2.063713550567627,,,,,,
