epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,39,,,,,,,1.5076357126235962,1.5573362112045288,2.8879542350769043
0,39,,,,3.5472145080566406,3.6593708992004395,16.511077880859375,,,
1,79,,,,,,,1.1243879795074463,1.2573257684707642,2.3723182678222656
1,79,,,,1.2315973043441772,1.3378759622573853,2.386718273162842,,,
2,119,,,,,,,1.211806058883667,1.2732203006744385,2.363860607147217
2,119,,,,1.2296861410140991,1.3676410913467407,2.416159152984619,,,
3,120,1.2787644863128662,1.4048264026641846,2.2966954708099365,,,,,,
