epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,1.0510026216506958,1.0510026216506958,1.5901172161102295
0,79,0.9879344701766968,0.9879344701766968,1.5488746166229248,,,
1,159,,,,1.0558040142059326,1.0558040142059326,1.5294657945632935
1,159,0.9832724332809448,0.9832724332809448,1.4705088138580322,,,
2,239,,,,1.005208969116211,1.005208969116211,1.3929660320281982
2,239,0.898530125617981,0.898530125617981,1.2035597562789917,,,
3,319,,,,0.9641424417495728,0.9641424417495728,1.3266853094100952
3,319,0.8606840372085571,0.8606840372085571,1.258177399635315,,,
4,399,,,,1.0046892166137695,1.0046892166137695,1.4143741130828857
4,399,0.948621928691864,0.948621928691864,1.3140146732330322,,,
5,479,,,,1.097821593284607,1.097821593284607,2.032801866531372
5,479,0.9966559410095215,0.9966559410095215,1.4824219942092896,,,
6,559,,,,1.1520044803619385,1.1520044803619385,2.052640199661255
6,559,0.8969148397445679,0.8969148397445679,1.2322134971618652,,,
7,639,,,,1.0994799137115479,1.0994799137115479,1.9267152547836304
7,639,0.9666355848312378,0.9666355848312378,1.4795304536819458,,,
8,719,,,,1.3793004751205444,1.3793004751205444,2.9950852394104004
8,719,1.0000327825546265,1.0000327825546265,1.4675085544586182,,,
9,799,,,,0.9730666875839233,0.9730666875839233,1.5530987977981567
9,799,0.8817546963691711,0.8817546963691711,1.1700334548950195,,,
