epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,,,,1.3324449062347412,1.3324449062347412,3.1949095726013184
0,79,,,,2.541839361190796,2.541839361190796,9.836176872253418,,,
1,159,,,,,,,1.3105378150939941,1.3105378150939941,2.9826416969299316
1,159,,,,1.312011957168579,1.312011957168579,2.5475618839263916,,,
2,239,,,,,,,1.3124401569366455,1.3124401569366455,2.9529831409454346
2,239,,,,1.3433486223220825,1.3433486223220825,2.872859477996826,,,
3,319,,,,,,,1.1207140684127808,1.1207140684127808,2.3095574378967285
3,319,,,,1.3123877048492432,1.3123877048492432,2.705944061279297,,,
4,399,,,,,,,1.2872264385223389,1.2872264385223389,2.844738721847534
4,399,,,,1.2599974870681763,1.2599974870681763,2.293032169342041,,,
5,479,,,,,,,1.1114966869354248,1.1114966869354248,2.275315284729004
5,479,,,,1.286361575126648,1.286361575126648,2.2684640884399414,,,
6,559,,,,,,,1.4335023164749146,1.4335023164749146,3.50433611869812
6,559,,,,1.2466816902160645,1.2466816902160645,2.1974501609802246,,,
7,639,,,,,,,1.1724212169647217,1.1724212169647217,2.318373441696167
7,639,,,,1.234601616859436,1.234601616859436,2.260735034942627,,,
8,719,,,,,,,1.2676258087158203,1.2676258087158203,2.732760190963745
8,719,,,,1.21201491355896,1.21201491355896,2.2269492149353027,,,
9,799,,,,,,,1.1911189556121826,1.1911189556121826,2.4797534942626953
9,799,,,,1.2317283153533936,1.2317283153533936,2.243342638015747,,,
10,800,1.1645128726959229,1.1645128726959229,1.9853515625,,,,,,
