epoch,step,train_MAE,train_Preds,train_RMSE,train_Total_Loss,val_MAE,val_Preds,val_RMSE,val_Total_Loss
0,79,,,,,1.3639745712280273,5.374514102935791,1.3639745712280273,3.1265413761138916
0,79,2.4132936000823975,3.2141804695129395,2.4132936000823975,8.950902938842773,,,,
1,159,,,,,1.5822811126708984,3.524371385574341,1.5822811126708984,3.0720090866088867
1,159,1.3398176431655884,4.722376823425293,1.3398176431655884,2.817946434020996,,,,
2,239,,,,,1.1377737522125244,4.81839656829834,1.1377737522125244,2.3328094482421875
2,239,1.2917218208312988,4.521148681640625,1.2917218208312988,2.4508910179138184,,,,
