epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,1.1051990985870361,1.1051990985870361,2.341777801513672
0,79,2.3987016677856445,2.3987016677856445,9.374845504760742,,,
1,159,,,,1.1207151412963867,1.1207151412963867,2.2811472415924072
1,159,1.2861840724945068,1.2861840724945068,2.313494920730591,,,
2,239,,,,1.2451280355453491,1.2451280355453491,2.6324455738067627
2,239,1.1995842456817627,1.1995842456817627,2.214576482772827,,,
3,319,,,,1.1088947057724,1.1088947057724,2.2595105171203613
3,319,1.2906996011734009,1.2906996011734009,2.326934576034546,,,
4,399,,,,1.118220567703247,1.118220567703247,2.176187753677368
4,399,1.2840620279312134,1.2840620279312134,2.1941144466400146,,,
5,479,,,,1.3111768960952759,1.3111768960952759,2.7704696655273438
5,479,1.231022596359253,1.231022596359253,2.4618942737579346,,,
6,559,,,,1.2737305164337158,1.2737305164337158,2.565751314163208
6,559,1.1723867654800415,1.1723867654800415,2.034867763519287,,,
7,639,,,,1.3142902851104736,1.3142902851104736,2.722346782684326
7,639,1.1810590028762817,1.1810590028762817,2.186580181121826,,,
8,719,,,,1.1619701385498047,1.1619701385498047,2.1411550045013428
8,719,1.2173678874969482,1.2173678874969482,2.174156904220581,,,
9,799,,,,1.7373778820037842,1.7373778820037842,3.7273335456848145
9,799,1.1093270778656006,1.1093270778656006,1.9914891719818115,,,
