epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,2,,,,,,,1.3332011699676514,1.5648425817489624,2.4487321376800537
0,2,,,,1.2834947109222412,1.5742413997650146,2.5116868019104004,,,
1,5,,,,,,,1.3303468227386475,1.5504134893417358,2.4037818908691406
1,5,,,,1.341381549835205,1.6199798583984375,2.6747384071350098,,,
2,8,,,,,,,1.1809337139129639,1.5208719968795776,2.313051462173462
2,8,,,,1.275428056716919,1.5449564456939697,2.392076015472412,,,
3,11,,,,,,,1.2238470315933228,1.5841825008392334,2.509634017944336
3,11,,,,1.1527950763702393,1.3861685991287231,1.9570896625518799,,,
4,14,,,,,,,1.169864296913147,1.520798683166504,2.312828779220581
4,14,,,,1.1473321914672852,1.3776403665542603,1.9652955532073975,,,
5,17,,,,,,,1.1020214557647705,1.456771731376648,2.1221840381622314
5,17,,,,1.1380798816680908,1.3798415660858154,1.9299612045288086,,,
6,20,,,,,,,1.0916717052459717,1.4413195848464966,2.077402114868164
6,20,,,,1.1320682764053345,1.3696256875991821,1.8792908191680908,,,
7,23,,,,,,,1.0992052555084229,1.4440609216690063,2.0853118896484375
7,23,,,,1.1199395656585693,1.3550915718078613,1.847720742225647,,,
8,26,,,,,,,1.100087285041809,1.4365615844726562,2.063709259033203
8,26,,,,1.1030309200286865,1.341722011566162,1.805137276649475,,,
9,29,,,,,,,1.0802017450332642,1.4071015119552612,1.9799346923828125
9,29,,,,1.0894640684127808,1.3250852823257446,1.7618815898895264,,,
10,30,1.3299866914749146,1.553210735321045,2.412463426589966,,,,,,
