epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,39,,,,1.6929839849472046,1.7581768035888672,3.4602973461151123
0,39,3.25237774848938,3.373865842819214,14.356254577636719,,,
1,79,,,,1.2947843074798584,1.4520436525344849,2.8560879230499268
1,79,1.3817369937896729,1.5420740842819214,2.760903835296631,,,
2,119,,,,1.1950229406356812,1.3399052619934082,2.5524964332580566
2,119,1.2656528949737549,1.3931827545166016,2.30856990814209,,,
3,159,,,,1.1359105110168457,1.259742021560669,2.3865039348602295
3,159,1.2330973148345947,1.3432433605194092,2.2790818214416504,,,
4,199,,,,1.1367632150650024,1.2705625295639038,2.3813748359680176
4,199,1.264978289604187,1.3761399984359741,2.338773727416992,,,
5,239,,,,1.4235422611236572,1.4742149114608765,2.7065272331237793
5,239,1.3033552169799805,1.4262149333953857,2.4925034046173096,,,
6,279,,,,1.137028455734253,1.2187817096710205,2.3052191734313965
6,279,1.2562963962554932,1.361212134361267,2.2881007194519043,,,
7,319,,,,1.15581476688385,1.2329938411712646,2.330052375793457
7,319,1.2355265617370605,1.3602219820022583,2.230590343475342,,,
8,359,,,,1.1538608074188232,1.2940852642059326,2.3725199699401855
8,359,1.2292778491973877,1.3541746139526367,2.1346349716186523,,,
9,399,,,,1.1407263278961182,1.2149170637130737,2.2888383865356445
9,399,1.2130951881408691,1.316489338874817,2.086634397506714,,,
10,439,,,,1.281003475189209,1.4347209930419922,2.6681227684020996
10,439,1.1673370599746704,1.2851097583770752,1.9940049648284912,,,
11,479,,,,1.1687227487564087,1.3132655620574951,2.365699529647827
11,479,1.2161920070648193,1.3240854740142822,2.2042694091796875,,,
12,519,,,,1.1570736169815063,1.2813670635223389,2.263063907623291
12,519,1.213329553604126,1.3252094984054565,2.0439634323120117,,,
13,559,,,,1.1763277053833008,1.306191086769104,2.24485182762146
13,559,1.1603667736053467,1.2913321256637573,1.9976699352264404,,,
14,599,,,,1.1848126649856567,1.2316821813583374,2.198204755783081
14,599,1.178741216659546,1.2932790517807007,1.992791771888733,,,
15,639,,,,1.125553846359253,1.2096054553985596,2.0133934020996094
15,639,1.2022985219955444,1.317933201789856,2.046619176864624,,,
16,679,,,,1.293194055557251,1.4495491981506348,2.658700466156006
16,679,1.1942253112792969,1.303941011428833,2.0886287689208984,,,
17,719,,,,1.132451057434082,1.2186439037322998,1.9942001104354858
17,719,1.1412627696990967,1.2426414489746094,1.9322054386138916,,,
18,759,,,,1.132022738456726,1.1962852478027344,2.162139415740967
18,759,1.1197779178619385,1.2418465614318848,1.9794105291366577,,,
19,799,,,,1.1280001401901245,1.1735711097717285,2.0231642723083496
19,799,1.2873610258102417,1.420106053352356,2.311723232269287,,,
20,839,,,,1.1560993194580078,1.2739022970199585,1.9961026906967163
20,839,1.0791046619415283,1.2107594013214111,1.933382272720337,,,
21,879,,,,1.192651391029358,1.3421671390533447,2.0605368614196777
21,879,1.1458643674850464,1.2565429210662842,1.8104311227798462,,,
22,919,,,,1.339667797088623,1.546842336654663,2.750669240951538
22,919,1.0535002946853638,1.1728742122650146,1.7156721353530884,,,
23,959,,,,1.154064416885376,1.204028844833374,1.6159648895263672
23,959,1.1226153373718262,1.2587133646011353,1.881284475326538,,,
