epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,,,,1.2833715677261353,1.2833715677261353,2.74651837348938
0,79,,,,1.205754041671753,1.205754041671753,2.194308280944824,,,
1,159,,,,,,,1.058905005455017,1.058905005455017,1.9288791418075562
1,159,,,,1.1920801401138306,1.1920801401138306,2.1308434009552,,,
2,239,,,,,,,1.1536996364593506,1.1536996364593506,2.144937515258789
2,239,,,,1.0889790058135986,1.0889790058135986,1.7876094579696655,,,
3,319,,,,,,,1.0429985523223877,1.0429985523223877,1.5955567359924316
3,319,,,,1.081494688987732,1.081494688987732,1.80767023563385,,,
4,399,,,,,,,0.9797821044921875,0.9797821044921875,1.3893468379974365
4,399,,,,1.0119059085845947,1.0119059085845947,1.6038014888763428,,,
5,479,,,,,,,1.140262246131897,1.140262246131897,1.965600609779358
5,479,,,,0.9912081956863403,0.9912081956863403,1.4558422565460205,,,
6,559,,,,,,,1.0997419357299805,1.0997419357299805,1.7149455547332764
6,559,,,,0.920629620552063,0.920629620552063,1.2594352960586548,,,
7,639,,,,,,,1.0487074851989746,1.0487074851989746,1.4906622171401978
7,639,,,,1.0396291017532349,1.0396291017532349,1.5401347875595093,,,
8,719,,,,,,,1.2688745260238647,1.2688745260238647,2.668342113494873
8,719,,,,0.9158662557601929,0.9158662557601929,1.4009816646575928,,,
9,799,,,,,,,1.1046321392059326,1.1046321392059326,1.6905462741851807
9,799,,,,0.9770816564559937,0.9770816564559937,1.432943344116211,,,
10,800,1.0793474912643433,1.0793474912643433,1.4222183227539062,,,,,,
