epoch,step,train_MAE,train_Preds,train_RMSE,train_Total_Loss,val_MAE,val_Preds,val_RMSE,val_Total_Loss
0,79,,,,,1.1368464231491089,4.376025199890137,1.1368464231491089,2.367530345916748
0,79,2.7176358699798584,2.8640899658203125,2.7176358699798584,11.522483825683594,,,,
1,159,,,,,1.1313947439193726,4.507802486419678,1.1313947439193726,2.3589999675750732
1,159,1.2566581964492798,4.700013160705566,1.2566581964492798,2.192338228225708,,,,
2,239,,,,,1.5878760814666748,5.828979969024658,1.5878760814666748,4.293110370635986
2,239,1.250404953956604,4.676097393035889,1.250404953956604,2.3969478607177734,,,,
