epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,79,,,,,,,1.3188416957855225,1.3188416957855225,3.1514906883239746
0,79,,,,1.3922746181488037,1.3922746181488037,3.154792070388794,,,
1,159,,,,,,,1.1134822368621826,1.1134822368621826,2.3969156742095947
1,159,,,,1.3586294651031494,1.3586294651031494,2.5160813331604004,,,
2,239,,,,,,,1.1181693077087402,1.1181693077087402,2.3823111057281494
2,239,,,,1.2697768211364746,1.2697768211364746,2.4089930057525635,,,
3,319,,,,,,,1.1191356182098389,1.1191356182098389,2.3363966941833496
3,319,,,,1.2524824142456055,1.2524824142456055,2.3549013137817383,,,
4,399,,,,,,,1.1608686447143555,1.1608686447143555,2.3395133018493652
4,399,,,,1.22004234790802,1.22004234790802,2.1268861293792725,,,
5,479,,,,,,,1.208781123161316,1.208781123161316,2.371546745300293
5,479,,,,1.2704150676727295,1.2704150676727295,2.3626370429992676,,,
6,559,,,,,,,1.1144624948501587,1.1144624948501587,2.3588790893554688
6,559,,,,1.246727466583252,1.246727466583252,2.3018546104431152,,,
7,639,,,,,,,1.1116893291473389,1.1116893291473389,2.259791612625122
7,639,,,,1.2312026023864746,1.2312026023864746,2.173710346221924,,,
8,719,,,,,,,1.1133509874343872,1.1133509874343872,2.2567896842956543
8,719,,,,1.2780126333236694,1.2780126333236694,2.3580708503723145,,,
9,799,,,,,,,1.1821798086166382,1.1821798086166382,2.57385516166687
9,799,,,,1.1955444812774658,1.1955444812774658,2.1614460945129395,,,
10,800,1.1630752086639404,1.1630752086639404,2.020930528640747,,,,,,
